Item Code,Description,Cost
FG Costs 2022,,
4800088270250,VIRGINIA Chicken Hotdog 250g,19.467039
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.182169
,,
August 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,33.141113
4800088210867,VIRGINIA Sweet Ham 250g,67.885481
4800088270250,VIRGINIA Chicken Hotdog 250g,19.509737
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.314914
,,
September 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,33.205817
4800088210867,VIRGINIA Sweet Ham 250g,68.010024
4800088270250,VIRGINIA Chicken Hotdog 250g,19.564711
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.381222
,,
October 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,33.277075
4800088210867,VIRGINIA Sweet Ham 250g,68.12591
4800088270250,VIRGINIA Chicken Hotdog 250g,19.600269
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.474026
,,
November 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,33.34367
4800088210867,VIRGINIA Sweet Ham 250g,68.257438
4800088270250,VIRGINIA Chicken Hotdog 250g,19.657547
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.530339
,,
December 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,33.399073
4800088210867,VIRGINIA Sweet Ham 250g,68.411752
4800088270250,VIRGINIA Chicken Hotdog 250g,19.70982
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.609888
,,
